max_depth,n_terms,n_factors,n_bits,n_h_terms,n_nodes,c_time,exp_val_time,mem_max,resulting_terms,inner
3,3,3,10,5,27,0,2,4348,1,89.0733
3,3,3,10,5,24,0,2,4372,1,1.7738
3,3,3,10,5,23,0,1,4476,1,7.33568
3,3,3,10,5,26,0,2,4464,1,48.326
3,3,3,10,5,26,0,1,4460,1,59.3197
3,3,3,10,5,29,0,2,4464,1,45.6719
3,3,3,10,5,27,0,1,4476,1,33.9985
3,3,3,10,5,21,0,1,4444,1,4.85974
3,3,3,10,5,22,0,1,4460,1,53.2581
3,3,3,10,5,25,0,1,4420,1,17.3131
3,4,3,10,5,46,1,12,4444,1,290.839
3,4,3,10,5,40,0,7,4456,1,47.5613
3,4,3,10,5,43,1,7,4468,1,91.6992
3,4,3,10,5,37,0,6,4452,1,47.7926
3,4,3,10,5,45,2,20,4488,1,154.965
3,4,3,10,5,36,1,6,4360,1,35.3531
3,4,3,10,5,40,1,7,4400,1,292.643
3,4,3,10,5,40,1,8,4364,1,17.607
3,4,3,10,5,44,1,10,4424,1,189.659
3,4,3,10,5,39,1,10,4436,1,20.6159
3,5,3,10,5,64,6,42,4592,1,1246.57
3,5,3,10,5,61,5,32,4596,1,74.4974
3,5,3,10,5,61,4,28,4332,1,186.75
3,5,3,10,5,62,4,28,4412,1,1164.62
3,5,3,10,5,62,6,38,4564,1,522.353
3,5,3,10,5,58,4,25,4576,1,470.661
3,5,3,10,5,60,5,33,4580,1,357.25
3,5,3,10,5,56,3,23,4448,1,248.314
3,5,3,10,5,60,5,30,4388,1,98.212
3,5,3,10,5,58,5,29,4580,1,549.107
3,3,4,10,5,28,0,3,4448,1,70.5282
3,3,4,10,5,28,0,2,4448,1,20.3804
3,3,4,10,5,26,0,3,4472,1,24.4233
3,3,4,10,5,24,0,2,4396,1,4.6444
3,3,4,10,5,25,0,4,4428,1,4.56743
3,3,4,10,5,24,0,2,4324,1,6.94825
3,3,4,10,5,24,0,1,4460,1,56.5474
3,3,4,10,5,25,0,2,4460,1,16.0587
3,3,4,10,5,24,0,2,4428,1,0.713293
3,3,4,10,5,21,0,1,4460,1,3.72841
3,4,4,10,5,40,1,8,4372,1,17.7017
3,4,4,10,5,43,1,11,4452,1,54.7149
3,4,4,10,5,44,2,14,4348,1,31.3837
3,4,4,10,5,43,2,12,4348,1,82.3498
3,4,4,10,5,33,0,3,4324,1,50.749
3,4,4,10,5,41,1,8,4432,1,55.4393
3,4,4,10,5,50,3,22,4548,1,366.916
3,4,4,10,5,46,3,17,4516,1,55.455
